Time (ps),Quercetin-FN1,pQ3RU-FN1
1602,2.12811,2.221269
1604,2.141741,2.220905
1606,2.148065,2.224411
1608,2.140742,2.215528
1610,2.151225,2.226882
1612,2.149698,2.221656
1614,2.15691,2.224049
1616,2.149789,2.223106
1618,2.159243,2.23025
1620,2.150448,2.231539
1622,2.140363,2.236612
1624,2.155298,2.237013
1626,2.157976,2.226385
1628,2.152549,2.234948
1630,2.143935,2.234585
1632,2.151449,2.237356
1634,2.143638,2.235993
1636,2.138504,2.237386
1638,2.138069,2.242572
1640,2.138648,2.238303
1642,2.129562,2.221004
1644,2.140022,2.215948
1646,2.138661,2.220187
1648,2.130701,2.226575
1650,2.131723,2.218448
1652,2.133714,2.214468
1654,2.127453,2.211473
1656,2.135165,2.214262
1658,2.144362,2.223684
1660,2.137112,2.22583
1662,2.142918,2.217037
1664,2.142542,2.227762
1666,2.142819,2.228698
1668,2.150635,2.225595
1670,2.145089,2.218134
1672,2.148426,2.2239
1674,2.154521,2.218961
1676,2.160437,2.216508
1678,2.155827,2.21545
1680,2.154354,2.216098
1682,2.15749,2.223358
1684,2.15257,2.214989
1686,2.140547,2.206301
1688,2.146086,2.210511
1690,2.145475,2.223348
1692,2.14924,2.222722
1694,2.14821,2.209134
1696,2.151408,2.2251
1698,2.166986,2.226983
1700,2.159026,2.227196
1702,2.14711,2.234167
1704,2.149755,2.229179
1706,2.138268,2.238837
1708,2.138332,2.23457
1710,2.145932,2.232195
1712,2.142924,2.226417
1714,2.150365,2.235957
1716,2.154599,2.224693
1718,2.155281,2.236933
1720,2.158846,2.231707
1722,2.161207,2.240665
1724,2.158845,2.234428
1726,2.146662,2.240997
1728,2.144896,2.228695
1730,2.145039,2.225937
1732,2.139315,2.226224
1734,2.148067,2.228908
1736,2.152031,2.222143
1738,2.141978,2.225441
1740,2.126834,2.230976
1742,2.13722,2.220111
1744,2.145119,2.216245
1746,2.137682,2.213004
1748,2.135454,2.213315
1750,2.137645,2.217992
1752,2.141313,2.221054
1754,2.139535,2.218204
1756,2.136403,2.224406
1758,2.137984,2.210975
1760,2.135531,2.224072
1762,2.138896,2.218722
1764,2.143792,2.212339
1766,2.150422,2.217106
1768,2.141485,2.221226
1770,2.127026,2.219375
1772,2.14051,2.209445
1774,2.135076,2.21159
1776,2.131779,2.225255
1778,2.130301,2.222838
1780,2.140211,2.220276
1782,2.131227,2.218953
1784,2.139867,2.216563
1786,2.138385,2.218982
1788,2.133853,2.222957
1790,2.13572,2.21091
1792,2.123899,2.207711
1794,2.128778,2.201414
1796,2.131757,2.204647
1798,2.137928,2.203997
1800,2.147249,2.212102
1802,2.144931,2.201219
1804,2.131712,2.205588
1806,2.141784,2.213137
1808,2.142197,2.207225
1810,2.14392,2.203268
1812,2.134794,2.196503
1814,2.128826,2.190689
1816,2.137953,2.192316
1818,2.145105,2.186241
1820,2.153859,2.178652
1822,2.144188,2.184812
1824,2.13843,2.183191
1826,2.141992,2.180688
1828,2.138379,2.178178
1830,2.125962,2.176596
1832,2.134168,2.172174
