Time (ns),Quercetin-FN1,pQ3RU-FN1
0.8140000,0.2120937,0.3554711
0.8160000,0.2112638,0.3494254
0.8180000,0.2099670,0.3606767
0.8200001,0.1989451,0.3555393
0.8220000,0.2002848,0.3564590
0.8240001,0.1907954,0.3642787
0.8260000,0.1870058,0.3634942
0.8280001,0.1965803,0.3669724
0.8300000,0.1943650,0.3623588
0.8320000,0.2062161,0.3568389
0.8340001,0.1976896,0.3459721
0.8360000,0.2013682,0.3540733
0.8380001,0.2131845,0.3488277
0.8400000,0.2066950,0.3458381
0.8420001,0.2129518,0.3492620
0.8440000,0.2071859,0.3492636
0.8460000,0.2155888,0.3546828
0.8480000,0.2331327,0.3387179
0.8500000,0.2403875,0.3359687
0.8520001,0.2372610,0.3338581
0.8540000,0.2463544,0.3354583
0.8560001,0.2452402,0.3509291
0.8580000,0.2512435,0.3606295
0.8600000,0.2505192,0.3596476
0.8620000,0.2451014,0.3539569
0.8640000,0.2485030,0.3507303
0.8660001,0.2310596,0.3556125
0.8680000,0.2281578,0.3502298
0.8700001,0.2350744,0.3415003
0.8720000,0.2339906,0.3291526
0.8740000,0.2307671,0.3380316
0.8760000,0.2452134,0.3401834
0.8780000,0.2281011,0.3526459
0.8800001,0.2293948,0.3449077
0.8820000,0.2293357,0.3350868
0.8840001,0.2144046,0.3232915
0.8860000,0.2197995,0.3295926
0.8880001,0.2259847,0.3310962
0.8900000,0.2136819,0.3353055
0.8920000,0.2140285,0.3339338
0.8940001,0.2174385,0.3461732
0.8960000,0.2172719,0.3369799
0.8980001,0.2305251,0.3481902
0.9000000,0.2352690,0.3480350
0.9020001,0.2246796,0.3609771
0.9040000,0.2149077,0.3552237
0.9060000,0.2284053,0.3551908
0.9080001,0.2231860,0.3570024
0.9100000,0.2261402,0.3545304
0.9120001,0.2267691,0.3512584
0.9140000,0.2144256,0.3445965
0.9160001,0.2110169,0.3551346
0.9180000,0.2191612,0.3522364
0.9200000,0.2180123,0.3742308
0.9220001,0.2228324,0.3655931
0.9240000,0.2160026,0.3750291
0.9260001,0.2319128,0.3650998
0.9280000,0.2262321,0.3752933
0.9300001,0.2355638,0.3708883
0.9320000,0.2344817,0.3707082
0.9340000,0.2260909,0.3691063
0.9360000,0.2232380,0.3747874
0.9380000,0.2232069,0.3832244
0.9400001,0.2319295,0.3939373
0.9420000,0.2338813,0.3838593
0.9440001,0.2322979,0.3830309
0.9460000,0.2311127,0.3650448
0.9480001,0.2187882,0.3743307
0.9500000,0.2125542,0.3690423
0.9520000,0.2144122,0.3664316
0.9540001,0.2198385,0.3680029
0.9560000,0.2221892,0.3726882
0.9580001,0.2258003,0.3673618
0.9600000,0.2241668,0.3599840
0.9620001,0.2352780,0.3628784
0.9640000,0.2290705,0.3579767
0.9660000,0.2266126,0.3652348
0.9680001,0.2284122,0.3715329
0.9700000,0.2199534,0.3806889
0.9720001,0.2182544,0.3824324
0.9740000,0.2219974,0.3760428
0.9760001,0.2114225,0.3832856
0.9780000,0.2117056,0.3892435
0.9800000,0.2045796,0.3965777
0.9820001,0.2009104,0.3841805
0.9840000,0.2024055,0.3752548
0.9860001,0.1988410,0.3730504
0.9880000,0.2109168,0.3810248
0.9900001,0.2095046,0.3737486
0.9920000,0.2004829,0.3766145
0.9940000,0.2102957,0.3609451
0.9960001,0.2109563,0.3647017
0.9980000,0.2121922,0.3525788
1.0000000,0.2055008,0.3439240
1.0020001,0.2160307,0.3525238
1.0040001,0.2220042,0.3599411
1.0060000,0.2032218,0.3761305
1.0080000,0.2069754,0.3764467
1.0100000,0.2143319,0.3795165
1.0120001,0.2104243,0.3879452
1.0140001,0.2164155,0.3835812
1.0160000,0.2159138,0.3731492
1.0180000,0.2048125,0.3840326
1.0200001,0.2036305,0.3880763
1.0220001,0.2212767,0.3756132
1.0240000,0.2130767,0.3756831
1.0260000,0.2133447,0.3835396
1.0280000,0.2053906,0.3776452
1.0300001,0.2169115,0.3653806
1.0320001,0.2078926,0.3621257
1.0340000,0.2097851,0.3670780
1.0360000,0.2077105,0.3603459
1.0380001,0.2040903,0.3538907
1.0400001,0.2029454,0.3370830
1.0420001,0.2036213,0.3437123
1.0440000,0.2023283,0.3409138
1.0460000,0.1968501,0.3302598
1.0480001,0.1966023,0.3279471
1.0500001,0.1807699,0.3249018
1.0520000,0.1805818,0.3409887
1.0540000,0.1813486,0.3254920
1.0560000,0.1740849,0.3265001
1.0580001,0.1655862,0.3417523
1.0600001,0.1712156,0.3431135
1.0620000,0.1605150,0.3432187
1.0640000,0.1668602,0.3386904
1.0660001,0.1784720,0.3413710
1.0680001,0.1732834,0.3343910
1.0700001,0.1635482,0.3438856
1.0720000,0.1694240,0.3244338
1.0740000,0.1639274,0.3150926
1.0760001,0.1705167,0.3359400
1.0780001,0.1796439,0.3420628
1.0800000,0.1836651,0.3236639
1.0820000,0.1952781,0.3228114
1.0840001,0.1996221,0.3165178
1.0860001,0.1871000,0.3036734
1.0880001,0.1866380,0.3123046
1.0900000,0.1893950,0.3033965
1.0920000,0.1806099,0.3084537
1.0940001,0.1940349,0.3082568
1.0960001,0.2040961,0.3037827
1.0980000,0.2059169,0.3083276
1.1000000,0.2005205,0.3037606
1.1020000,0.2080650,0.3226271
1.1040001,0.2164379,0.3282091
1.1060001,0.2046025,0.3210611
1.1080000,0.1992450,0.3261711
1.1100000,0.2066782,0.3123301
1.1120001,0.1964052,0.3116445
1.1140001,0.1864229,0.3174974
1.1160001,0.1807431,0.3300934
1.1180000,0.1771869,0.3178079
1.1200000,0.1803547,0.3093105
1.1220001,0.1843021,0.3218484
1.1240001,0.1732624,0.3250443
1.1260000,0.1766832,0.3179329
1.1280000,0.1695732,0.3187045
1.1300000,0.1842972,0.3199825
1.1320001,0.1876815,0.3351411
1.1340001,0.1764055,0.3409033
1.1360000,0.1792458,0.3315436
1.1380000,0.1655301,0.3230122
1.1400001,0.1596317,0.3039196
1.1420001,0.1691540,0.3103230
1.1440001,0.1622132,0.3181753
1.1460000,0.1633207,0.3201304
1.1480000,0.1674839,0.3107563
1.1500001,0.1533272,0.3170554
1.1520001,0.1600375,0.3173903
1.1540000,0.1672560,0.3111106
1.1560000,0.1762930,0.3036789
1.1580001,0.1785731,0.3048079
1.1600001,0.1688034,0.3046751
1.1620001,0.1712922,0.3100179
1.1640000,0.1768247,0.3157697
1.1660000,0.1818126,0.3206585
1.1680001,0.1761959,0.3174234
1.1700001,0.1719456,0.3247570
